,acc
0,57.55755755755756
1,72.33616808404201
2,78.4594864954985
3,81.77044261065267
4,84.15683136627325
5,85.79763293882314
6,86.86955279325618
7,87.73596699587448
8,88.44316035115013
9,89.18891889188919
10,89.84453132102918
11,90.33252771064255
12,90.7223632587122
13,91.04221730123581
14,91.34608973931596
15,91.59322457653603
16,91.87011000647097
17,92.12178454358576
18,92.35749249960524
19,92.60463023151158
20,92.75679794275918
21,92.97240783671985
22,93.16057219879126
23,93.31222134255594
24,93.47173886955478
25,93.6382168544944
26,93.72939738508833
27,93.84263723704419
28,93.95841235904686
29,94.07313577119237
30,94.15787606051808
31,94.24357011156599
32,94.35740476984151
33,94.45277802288302
34,94.55984456698762
35,94.64151781993944
36,94.69985675288521
37,94.8024948024948
38,94.85627836611195
39,94.92737318432961
40,95.00719529744627
41,95.06416819448081
42,95.12314239866043
43,95.18170867519716
44,95.23100513344741
45,95.28250614143786
46,95.32756016085449
47,95.35615325319277
48,95.40398783648646
49,95.45790915818317
50,95.49991176297574
51,95.54991442143118
52,95.59048283929886
53,95.63325246763829
54,95.67264859361079
55,95.7034947052626
56,95.73501289496306
57,95.78613424369385
58,95.82704791606638
59,95.87826463774397
60,97.3973973973974
61,97.7488744372186
62,97.96598866288763
63,98.07451862965742
64,98.15963192638527
65,98.23303883980664
66,98.25689384197743
67,98.29978747343418
68,98.24424936104012
69,98.30983098309831
70,98.35439585416856
71,98.37486457204767
72,98.42295561197015
73,98.40702907350526
74,98.36655777051803
75,98.38739921245077
76,98.34107888699336
77,98.37768764931386
78,98.41044265487658
79,98.4349217460873
80,98.46659364731654
81,98.45902086458476
82,98.47819470411757
83,98.47076961540064
84,98.4799391975679
85,98.48455709834994
86,98.4666098744398
87,98.47137397764206
88,98.47580951067278
89,98.48661622054068
90,98.50962934288202
91,98.46870214694209
92,98.48480256977484
93,98.50877966999029
94,98.51138603960113
95,98.50829189699714
96,98.50536500986513
97,98.50785546988078
98,98.49739736916331
99,98.49996249906248
100,98.50484158150199
101,98.50710731207886
102,98.50926765738738
103,98.52269369758403
104,98.52663392519834
105,98.51083719211287
106,98.51273431349603
107,98.5208025167191
108,98.50609196106043
109,98.51197023940479
110,98.52742210631581
111,98.5365103175061
112,98.53393460253967
113,98.52589862775237
114,98.5345188094329
115,98.53390239111413
116,98.54032526886436
117,98.53618165830446
118,98.55251783928541
119,98.5616426940449
120,98.89889889889889
121,98.34917458729365
122,98.432810936979
123,98.59964991247811
124,98.63972794558912
125,98.66644440740123
126,98.71410201457351
127,98.66233279159896
128,98.7443049227692
129,98.80988098809881
130,98.88171651968361
131,98.91657638136512
132,98.93837987537503
133,98.91420815772555
134,98.93992932862191
135,98.93743358959935
136,98.93523148420495
137,98.95549752764042
138,98.94204958155693
139,98.95494774738737
140,98.97137958950427
141,98.9908632210555
142,98.9999565198487
143,98.98745781074211
144,99.01196047841914
145,99.00380783876302
146,99.00737064335716
147,99.01425050894674
148,99.00686230559674
149,99.00663355445181
150,98.99996774089487
151,98.9874683583862
152,98.97269614230734
153,98.98820553545693
154,98.97425640732592
155,98.98052723686769
156,98.9918646449904
157,98.99734203531672
158,98.97176850688479
159,98.9849746243656
160,98.98778018976073
161,98.99045215362271
162,98.9976511081653
163,98.98861337757677
164,99.004422320496
165,99.01084806191439
166,99.01061724717547
167,99.00622929644368
168,99.01834731321047
169,99.0059801196024
170,99.00586286005608
171,99.00575011057904
172,99.01130210003963
173,99.00553713957666
174,99.00725467735776
175,99.02141109662672
176,99.0245442902507
177,99.02067277022017
178,99.0271021542738
179,99.03831730528842
180,99.09909909909909
181,99.1495747873937
182,99.1997332444148
183,99.09977494373594
184,99.11982396479296
185,99.11651941990331
186,99.09987141020146
187,99.03737967245905
188,99.05545060562285
189,99.04990499049904
190,99.0726429675425
191,99.11659304942079
192,99.12300946226632
193,99.13565254661047
194,99.16661110740716
195,99.20620038752422
196,99.17053944349668
197,99.18884382465693
198,99.19469445760303
199,99.2099604980249
200,99.21901042906805
201,99.22723760170916
202,99.25214139745206
203,99.25413558898288
204,99.28397135885436
205,99.27304896342167
206,99.28145486869884
207,99.27140255009107
208,99.26894030828649
209,99.25997533251109
210,99.25804058195426
211,99.25935185474546
212,99.26967483863147
213,99.27056678137592
214,99.26569330552302
215,99.27220200561126
216,99.27295332306278
217,99.2657701518461
218,99.25895535782969
219,99.26998174954373
220,99.26339666821141
221,99.27141122407676
222,99.27207609479291
223,99.27498352235278
224,99.28220627125047
225,99.27389725863605
226,99.26381412370476
227,99.2666513885706
228,99.27345456029715
229,99.25998519970399
230,99.26076981901606
231,99.26921671570607
232,99.26979754334988
233,99.27220874460639
234,99.27635047909962
235,99.28034429186235
236,99.27893471815295
237,99.27929791892964
238,99.28303869557111
239,99.28332138868981
240,98.998998998999
241,99.2496248124062
242,99.26642214071357
243,99.39984996249062
244,99.37987597519503
245,99.34989164860811
246,99.35705100728676
247,99.37492186523315
248,99.3554839426603
249,99.35993599359936
250,99.38176197836167
251,99.39161596799734
252,99.40764674205708
253,99.42853060932924
254,99.44662977531836
255,99.44996562285142
256,99.44114359668215
257,99.44441357853214
258,99.46839307331965
259,99.45997299864993
260,99.47140340016192
261,99.49543161052775
262,99.51302230531762
263,99.5083128463686
264,99.51198047921918
265,99.50382707027194
266,99.51109300344457
267,99.51069681060038
268,99.5068795475706
269,99.51998399946665
270,99.52579115455337
271,99.53123535110473
272,99.54544077093246
273,99.5499867643166
274,99.54284408125946
275,99.53332037001027
276,99.52160869212682
277,99.52104002736914
278,99.5205005256545
279,99.51998799969999
280,99.51218322398107
281,99.5142741493845
282,99.51161654922207
283,99.51362530966612
284,99.50887797506611
285,99.5108589317159
286,99.4957339517862
287,99.50415633659034
288,99.5040715116635
289,99.50599011980239
290,99.51567677797604
291,99.51537529567877
292,99.5113115341799
293,99.50369451286134
294,99.50362733867888
295,99.50713405596528
296,99.50700889489289
297,99.50861221745203
298,99.5135510771369
299,99.51165852764213
300,99.7997997997998
301,99.74987493746873
302,99.5998666222074
303,99.62490622655663
304,99.61992398479696
305,99.53325554259044
306,99.5856550935848
307,99.5249406175772
308,99.52216912990332
309,99.53995399539954
310,99.53632148377125
311,99.54162846903908
312,99.54611893222555
313,99.55711122223016
314,99.55997066471097
315,99.56247265454091
316,99.56468027531031
317,99.57219845546975
318,99.58418864150745
319,99.59497974898746
320,99.6142673460641
321,99.63180144552025
322,99.63476672898821
323,99.64581857577399
324,99.62798511940477
325,99.63460133082042
326,99.63702359346642
327,99.63927283117255
328,99.63447015414324
329,99.63332111070369
330,99.64514984354334
331,99.64686396449889
332,99.65150459104821
333,99.64998970557957
334,99.6371324894997
335,99.63610100280563
336,99.62701694640396
337,99.62104265901735
338,99.62563142644683
339,99.62499062476562
340,99.62438108246542
341,99.62380056668016
342,99.61627014581734
343,99.60908202459147
344,99.60888019733771
345,99.60868714537273
346,99.60637460371497
347,99.60415841996708
348,99.60407355252148
349,99.609992199844
350,99.60587462499265
351,99.6115309909806
352,99.61697390516802
353,99.62036334006186
354,99.61999309078347
355,99.61785031875569
356,99.62104598326286
357,99.62585561820032
358,99.62541737995559
359,99.62332705545093
360,99.69969969969969
361,99.69984992496248
362,99.73324441480493
363,99.77494373593399
364,99.71994398879777
365,99.74995832638773
366,99.71424489212745
367,99.69996249531191
368,99.68885431714635
369,99.6999699969997
370,99.72724793163015
371,99.72497708142345
372,99.70766982075544
373,99.69997856989785
374,99.71331422094806
375,99.70623163947747
376,99.71174774986764
377,99.70553919662204
378,99.70524764461287
379,99.69998499924996
380,99.70950997666556
381,99.71816900768216
382,99.73042306187226
383,99.73332222175924
384,99.72798911956478
