,acc
0,20.62062062062062
1,24.96248124062031
2,27.342447482494165
3,28.857214303575894
4,30.286057211442287
5,31.55525920986831
6,32.31890270038577
7,33.32916614576822
8,34.170463384820536
9,34.963496349634966
10,35.55777797981635
11,36.194682890240855
12,36.65666589737672
13,37.18122723051646
14,37.6158410560704
15,37.99612475779736
16,38.531678334019645
17,39.04661370076116
18,39.59155745039212
19,39.92699634981749
20,40.38763750654793
21,40.75185235692531
22,41.240923518413844
23,41.726738614108925
24,42.04568182727309
25,42.39009192661256
26,42.63491240416312
27,42.95867709561056
28,43.28425118107521
29,43.58478615953865
30,43.78528339623859
31,44.09825307040845
32,44.30740325464408
33,44.62484190711491
34,44.821280608017375
35,45.06791855329315
36,45.28500770291089
37,45.50382904813284
38,45.757583527782764
39,45.93864846621165
40,46.20844410839289
41,46.401104788209246
42,46.58945556873416
43,46.78288142912339
44,47.018822640503124
45,47.23798343442249
46,47.43505180961297
47,47.69266026375549
48,47.91526357680769
49,48.10696213924278
50,60.06006006006006
51,59.92996498249124
52,59.91997332444148
53,60.76519129782446
54,60.372074414882974
55,60.49341556926154
56,60.40862980425775
57,60.32004000500063
58,60.28447605289477
59,60.56605660566056
60,60.450950086371485
61,60.62171847653971
62,60.39695361181629
63,60.497178369883564
64,60.584038935929065
65,60.62878929933121
66,60.59768221660098
67,60.60892271792877
68,60.77688299384178
69,60.84304215210761
70,60.96480784799276
71,61.070957770807766
72,61.11135266750728
73,61.1942164256844
74,61.36245449817993
75,61.40620793107427
76,61.43190488536612
77,61.60934319082824
78,61.65040173799097
79,61.792059735324514
80,61.91812639117391
81,61.976936779274354
82,61.92611897330222
83,61.97535221624165
84,62.07320209148833
85,62.160060001666714
86,62.19357279926484
87,62.212163477986266
88,62.28877663529834
89,62.4065601640041
90,62.40640015610137
91,62.45386794923689
92,62.49912788669504
93,62.52187549717039
94,62.65917020378231
95,62.76875584251832
96,62.865167343986045
97,62.95547823912998
98,63.089042633523135
99,63.159263185263704
100,67.66766766766767
101,68.83441720860431
102,68.7895965321774
103,68.69217304326081
104,68.45369073814763
105,68.24470745124188
106,68.09544220602943
107,68.10851356419552
108,67.96310701189022
109,67.93679367936794
110,67.92435675970543
111,67.73897824818735
112,67.91291637818294
113,67.9619972855204
114,68.01120074671645
115,67.79798737421089
116,67.78045767398082
117,67.78709928329351
118,67.94041791673246
119,67.93339666983348
120,67.9603790656698
121,67.97127142142824
122,68.00730466542024
123,68.02783449310388
124,68.11472458898356
125,68.20646947959537
126,68.26919515537612
127,68.36315582699382
128,68.43684264974654
129,68.54228474282476
130,68.56672795896642
131,68.60214381699429
132,68.55056213824662
133,68.48436718727021
134,68.51624332123775
135,68.47967999111087
136,68.49374307413714
137,68.48074949340773
138,68.50432062360574
139,68.53921348033701
140,68.49191443693749
141,68.53972713636038
142,68.59229284401962
143,68.65383304166004
144,68.72597168825973
145,68.76019043892259
146,68.8163577948467
147,68.87226817225358
148,68.92181473091287
149,68.96737934758696
150,71.97197197197197
151,71.73586793396699
152,71.1570523507836
153,71.54288572143035
154,71.61432286457291
155,71.54525754292382
156,71.5387912558937
157,71.53394174271784
158,71.69685520613402
