,wc
0,10.827064
1,9.459553
2,8.645054
3,8.1522665
4,7.7080083
5,6.994156
6,6.5296907
7,6.207863
8,6.2828255
9,5.8464193
10,5.7922864
11,5.673807
12,5.444158
13,5.1831355
14,5.2536
15,5.499138
16,5.1743813
17,4.882936
18,4.4629846
19,4.5650134
20,4.4312406
21,4.301728
22,3.9460516
23,4.103193
24,4.0844383
25,4.1163735
26,4.0187087
27,3.6801968
28,3.767915
29,3.61286
30,3.4981735
31,3.5687838
32,3.6638846
33,3.6105676
34,3.5193005
35,3.294811
36,3.715261
37,3.2352808
38,3.3017104
39,3.1842828
40,3.2870977
41,3.4711175
42,3.444769
43,3.2950764
44,3.378107
45,3.0871143
46,2.9942987
47,2.8318527
48,2.8697004
49,2.984168
50,2.6283321
51,2.6315255
52,2.6751685
53,2.8056283
54,2.5009353
55,2.4923508
56,2.6894894
57,2.6325815
58,2.4470723
59,2.5831447
60,2.5358388
61,2.6192012
62,2.7747738
63,2.4211862
64,2.511881
65,2.5374978
66,2.6337886
67,2.3837602
68,2.406149
69,2.6132522
70,2.404863
71,2.6846814
72,2.3396463
73,2.4175289
74,2.3627238
75,2.2355285
76,2.261306
77,2.4835367
78,2.2660923
79,2.4632988
80,2.3845475
81,2.4117267
82,2.4746814
83,2.396445
84,2.4446528
85,2.4166348
86,2.245223
87,2.2490544
88,2.238558
89,2.27993
90,2.4033792
91,2.2422569
92,2.2792935
93,2.2496798
94,2.2716713
95,2.1722453
96,2.1630301
97,2.2941847
98,2.3369017
99,2.0645673
100,2.0576453
101,2.047541
102,2.0230556
103,2.1117167
104,2.2168624
105,2.1976686
106,2.1572888
107,2.152921
108,2.3195033
109,2.2621713
110,2.0694149
111,2.0027313
112,2.0133445
113,2.019092
114,2.2276564
115,2.1285563
116,2.1905375
117,2.2197561
118,2.1035593
119,1.929293
120,2.1780162
121,2.086491
122,1.9836246
123,2.2115924
124,1.8789285
125,1.8803453
126,2.1552901
127,2.153906
128,2.0396729
129,2.0870016
130,2.0904264
131,2.1782336
132,1.9504557
133,2.2726877
134,2.1601057
135,2.3403928
136,2.0530698
137,2.1364744
138,2.0452676
139,2.223407
140,2.169145
141,2.1382809
142,2.1027656
143,2.1516247
144,1.9754725
145,2.0941014
146,1.93916
147,1.742973
148,2.0930254
149,2.0945284
150,2.087566
151,2.0307152
152,1.8664011
153,1.9468049
154,2.0522492
155,1.9673355
156,1.9125525
157,2.0984812
158,2.069328
159,2.1178079
160,1.9543519
161,2.1200502
162,2.1331713
163,2.0990884
164,1.9322236
165,2.0771222
166,2.0730093
167,2.2045002
168,2.0127015
169,2.0910883
170,2.0044181
171,2.1832376
172,1.8566606
173,1.9124959
174,1.8067548
175,1.886918
176,1.9409827
177,1.7808316
178,1.8599929
179,2.017102
180,1.8757124
181,2.0299103
182,2.0054204
183,1.9922867
184,2.0968223
185,1.9683787
186,1.8233222
187,1.8876269
188,1.9343286
189,2.0598078
190,1.9862567
191,1.9905748
192,1.8368164
193,1.8227059
194,1.9257966
195,1.7170243
196,1.7826396
197,1.9725381
198,1.5650624
199,1.7130327
200,1.7480576
201,1.7422047
202,1.8775749
203,1.8040376
204,1.7410955
205,1.7708379
206,1.7305024
207,2.0464585
208,1.828677
209,1.8912102
210,1.6409088
211,1.8901088
212,1.9624099
213,1.8795122
214,1.9159142
215,1.7606628
216,1.901121
217,1.7565987
218,1.9529653
219,1.7011547
220,1.9780442
221,1.9490541
222,1.7725779
223,1.7304573
224,1.8558867
225,1.7331295
226,1.6692091
227,1.7987642
228,1.7402784
229,1.796055
230,1.7029549
231,1.6842511
232,1.779202
233,1.8971738
234,2.110602
235,1.7102984
236,1.9099607
237,1.9474539
238,2.0672677
239,1.9173973
240,1.8314826
241,2.0350487
242,1.8770314
243,1.6778265
244,1.8467655
245,2.0663888
246,1.837446
247,1.8431828
248,1.6018878
249,1.6375822
250,1.7396369
251,1.6985818
252,1.6638802
253,1.8299874
254,1.8677979
255,1.7592754
256,1.7401336
257,1.9371992
258,1.9509633
259,1.8310791
260,1.8296868
261,1.8570242
262,2.1964903
263,1.8019958
264,1.7969568
265,2.07254
266,1.9735402
267,1.7660778
268,1.7705963
269,1.9655801
270,1.7680651
271,1.9778156
272,1.7403373
273,1.7031779
274,1.7660257
275,1.5867974
276,1.6355683
277,2.0380392
278,1.7215891
279,1.67965
280,1.7562397
281,1.8550113
282,1.8668599
283,1.9300774
284,1.904248
285,1.798489
286,1.8884997
287,1.8833615
288,1.8063599
289,1.9238757
290,1.9438735
291,1.8883871
292,2.1599824
293,1.938253
294,1.5440961
295,1.7350096
296,1.6720974
297,1.7644355
298,1.6883205
299,1.809802
300,1.602417
301,1.6299297
302,1.9503973
303,1.7410693
304,1.7542804
305,1.6141468
306,1.885719
307,1.9386948
308,1.9770368
309,1.9564118
310,2.0294693
311,1.9012312
312,1.9984576
313,1.788857
314,2.0528746
315,1.9431794
316,1.6960304
317,2.1973546
318,2.0394235
319,1.8686477
320,1.975517
321,1.7735175
322,1.8574444
323,1.8696672
324,1.7393565
325,1.673025
326,1.8706362
327,2.0478911
328,1.5678608
329,1.6533368
330,1.6216125
331,1.8933295
332,1.6770067
333,1.9251733
334,1.8974454
335,1.8707525
336,1.9982703
337,1.7628148
338,1.8777537
339,1.8279778
340,1.8679086
341,1.7613711
342,1.7302763
343,1.6497405
344,1.8393161
345,1.5626582
346,1.5811285
347,1.5749454
348,1.5736759
349,1.6185595
350,1.5297542
351,1.5697271
352,1.7270999
353,1.6892835
354,1.5036457
355,1.5295602
356,1.5519161
357,1.7013879
358,1.6694814
359,1.6931677
360,1.572187
361,1.8041906
362,1.6967682
363,1.7808094
364,1.7808114
365,1.7140687
366,1.6467131
367,1.6671925
368,1.8527583
369,1.9172364
370,1.7755187
371,1.6313108
372,1.7943193
373,1.6447175
374,1.4913769
375,1.615421
376,1.5259346
377,1.655765
378,1.6863315
379,1.6779038
380,1.7438526
381,1.5185184
382,1.4997286
383,1.8704109
384,1.601381
385,1.6641439
386,1.6407733
387,1.6993742
388,1.4905508
389,1.8048588
390,1.7368429
391,1.5464196
392,1.6831952
393,1.7419283
394,1.6105213
395,1.5936549
396,1.7285221
397,1.6147462
398,1.5110978
399,1.5535191
400,1.6865132
401,1.6812283
402,1.6953828
403,1.5271865
404,1.7018944
405,1.735767
406,1.5600519
407,1.7404338
408,1.648824
409,1.6494284
410,1.7574614
411,1.9550622
412,1.8751318
413,1.7676535
414,1.4952116
415,1.7639253
416,1.6848625
417,1.7683764
418,1.7081019
419,1.6860198
420,1.6369683
421,1.6494234
422,1.5868418
423,1.7379447
424,1.6096423
425,1.7579498
426,1.7036912
427,1.4170537
428,1.8292756
429,1.4089326
430,1.6644477
431,1.9245746
432,1.7210937
433,1.6490725
434,1.7158326
435,1.5813978
436,1.729679
437,1.5781107
438,1.722822
439,1.671688
440,1.7014134
441,1.6975133
442,1.5810156
443,1.7171535
444,1.7326665
445,1.7054892
446,1.5251614
447,1.4991739
448,1.5364015
449,1.4482149
450,1.5409312
451,1.4576722
452,1.4910363
453,1.6606834
454,1.5773022
455,1.5179952
456,1.54823
457,1.6085086
458,1.627973
459,1.6304398
460,1.9139788
461,1.7955159
462,1.9455377
463,1.7719065
464,1.5443994
465,1.570965
466,1.5622652
467,1.5857375
468,1.7446287
469,1.6176263
470,1.5511881
471,1.5491097
472,1.8201729
473,1.7983928
474,1.5516568
475,1.6359817
476,1.4679016
477,1.6581175
478,1.6431965
479,1.603773
480,1.7411227
481,1.6309345
482,2.0765588
483,1.8292042
484,1.8475748
485,1.8022666
486,1.7223287
487,1.789661
488,1.6100867
489,1.7975291
490,1.7705238
491,1.5551046
492,1.5980374
493,1.6308204
494,1.6538386
495,1.8061484
496,1.5967315
497,1.7681447
498,1.5752507
499,1.7009292
500,1.838025
501,1.827951
502,1.5589652
503,1.6637862
504,1.6589265
505,1.5812218
506,1.8493564
507,1.5346155
508,1.5766238
509,1.7535479
510,1.4868765
511,1.5245184
512,1.9296385
513,2.00718
514,1.7587329
515,1.6793215
