,wc
0,5.7198777
1,3.4649692
2,2.8748915
3,2.5534074
4,2.489476
5,2.2763727
6,2.0557551
7,2.103324
8,2.1090872
9,1.8823973
10,1.9221953
11,1.9091115
12,1.9522907
13,1.7432663
14,1.5699946
15,1.6306913
16,1.6563241
17,1.9188327
18,1.7582294
19,1.6547483
20,1.383443
21,1.4978629
22,1.5193542
23,1.5011317
24,1.4667343
25,1.4575479
26,1.5011343
27,1.3876865
28,1.6442163
29,1.4449142
30,1.2442977
31,1.4646175
32,1.2717524
33,1.2786449
34,1.3643088
35,1.3579955
36,1.4450715
37,1.1118222
38,1.2534331
39,1.0652894
40,1.3362187
41,1.370309
42,1.0269549
43,1.3585458
44,1.2218198
45,1.0212898
46,1.3144635
47,1.1211946
48,1.3359075
49,1.3418336
50,1.2193089
51,1.3745985
52,1.0462027
53,1.3749642
54,1.2112064
55,1.1552458
56,1.4286038
57,1.1864432
58,1.2613395
59,0.9440542
60,1.1438504
61,0.9907186
62,1.1102747
63,1.0433499
64,1.290771
65,0.99988586
66,1.1700631
67,1.0212849
68,1.0238252
69,1.0703367
70,1.026181
71,1.060235
72,1.1774548
73,1.0961531
74,1.0225632
75,1.0781605
76,0.99669904
77,0.9927954
78,1.0675626
79,0.91823906
80,0.7698952
81,0.9364502
82,1.0457811
83,0.99363106
84,1.0407906
85,1.0578934
86,1.0387765
87,0.89554
88,1.019855
89,0.9596554
90,0.9911722
91,1.0653163
92,1.0547861
93,0.8968209
94,1.0374222
95,0.87360466
96,0.9996137
97,0.95050937
98,0.9471282
99,0.9800486
100,1.0532055
101,1.172751
102,0.9582771
103,1.0132797
104,1.2880222
105,1.0863198
106,1.0160135
107,1.0674349
108,0.88100266
109,1.2423897
110,0.9681015
111,1.0138577
112,0.9972644
113,1.0092666
114,1.1658033
115,1.2240523
116,0.8430521
117,1.1440902
118,1.1010062
119,1.0089442
120,1.1354582
121,0.9941865
122,1.1037157
123,0.91168374
124,1.1247082
125,0.9552272
126,1.1313083
127,0.86987025
128,0.9711079
129,0.9043448
130,0.94832003
131,0.8828108
132,1.058028
