,wc
0,21571.191
1,8168.1846
2,5449.723
3,4038.7996
4,3946.3933
5,3598.52
6,3280.1436
7,3548.013
8,3868.1868
9,3098.6094
10,2443.3518
11,2446.9636
12,2565.1714
13,2663.7205
14,2620.5334
15,2304.988
16,2106.9556
17,2092.52
18,1901.669
19,1938.4462
20,1900.1968
21,2208.4062
22,1621.3466
23,1948.133
24,1506.9518
25,1948.9192
26,2338.8896
27,1933.9827
28,1734.8318
29,1559.888
30,1691.2343
31,1991.6143
32,1294.9789
33,1463.5431
34,1509.0946
35,1496.5269
36,1503.072
37,1884.5334
38,1228.2485
39,1862.8442
40,1697.2748
41,1553.2815
42,1080.063
43,1612.7087
44,1193.4988
45,1806.2832
46,1787.1687
47,1700.0969
48,1476.6692
49,1747.1603
50,1065.8096
51,1482.6901
52,1264.4535
53,1339.7302
54,1353.5062
55,1425.5009
56,1145.7607
57,1104.1799
58,375.52155
59,852.83484
60,1150.194
61,998.9247
62,794.8312
63,1146.9058
64,907.6167
65,935.56934
66,1105.8972
67,887.09216
68,1322.0205
69,849.4507
70,780.1957
71,900.56836
72,891.16583
73,730.89417
74,1084.4138
75,1003.37555
76,658.1575
77,1128.4556
78,896.4
79,981.1532
80,936.6416
81,664.741
82,672.2409
83,754.25195
84,1009.6886
85,949.4896
86,1216.3031
87,873.6107
88,1146.1902
89,524.25574
90,937.3967
91,813.7686
92,1041.0989
93,828.30066
94,980.16284
95,1171.8713
96,730.1685
97,1189.4868
98,902.1529
99,873.8312
100,865.2665
101,1100.5165
102,806.64294
103,913.06836
104,702.4648
105,990.602
106,1007.2096
107,949.3491
108,1278.3928
109,1077.4384
110,1044.9753
111,949.7289
112,900.5837
113,778.4873
114,992.3727
115,998.3425
116,779.8126
117,446.04248
118,263.03308
119,627.3381
120,822.38196
121,839.9449
122,732.56836
123,635.6491
124,597.4603
125,501.4612
126,703.2529
127,846.74786
128,598.50464
129,644.0686
130,749.9159
131,402.19034
132,620.0323
133,567.46375
134,658.4343
135,700.8177
136,642.0637
137,530.8157
138,313.19943
139,728.26666
140,444.5018
141,694.1808
142,434.76202
143,623.1414
144,477.70566
145,764.5306
146,682.51575
147,394.25543
148,727.3567
149,558.87335
150,665.7937
151,623.3645
152,526.31366
153,669.35315
154,483.69598
155,684.0947
156,954.8782
157,718.603
158,665.0514
159,887.98694
160,835.56934
161,684.5337
162,735.2218
163,595.70715
164,424.75668
165,834.74023
166,827.98816
167,582.74243
168,830.2644
169,741.35645
170,689.3974
171,446.29996
172,754.72217
173,743.7162
174,448.66568
175,642.74475
176,422.02817
177,490.67752
178,210.96143
179,437.68585
180,595.4916
181,596.21765
182,481.81952
183,586.2908
184,445.20187
185,410.17786
186,644.52637
187,665.00354
188,629.0337
189,433.32993
190,388.2202
191,427.20724
192,336.69308
193,388.09393
194,374.3376
195,329.2006
196,476.29153
197,567.6549
198,639.2139
199,375.32318
200,395.42715
201,623.37463
202,234.58853
203,406.00232
204,495.5146
205,487.5511
206,835.9077
207,401.3887
208,454.77264
209,496.806
210,454.95175
211,426.63318
212,548.8501
213,262.4994
214,499.6578
215,489.05444
216,731.24756
217,523.82837
218,557.577
219,522.4187
220,422.85367
221,556.9618
222,630.29987
223,277.4133
224,589.05493
225,447.92856
226,703.318
227,543.191
228,511.45493
229,397.0124
230,436.0731
231,404.00952
232,584.02454
233,442.39145
234,453.92
235,370.67776
236,447.37305
237,477.31253
238,297.77954
239,226.20312
240,554.45026
241,445.16
242,383.57184
243,391.52463
244,319.80515
245,349.25543
246,309.64648
247,357.58792
248,441.93454
249,256.0666
250,517.46716
251,203.9841
252,347.36084
253,383.4585
254,357.1273
255,405.85724
256,434.00278
257,409.6745
258,338.0081
259,416.09943
260,360.85117
261,338.26477
262,368.4992
263,339.1919
264,266.158
265,452.51587
266,464.99194
267,426.49927
268,212.78079
269,469.07364
270,366.88925
271,422.3101
272,377.3524
273,264.3638
274,668.7711
275,539.27545
276,468.86102
277,416.87857
278,368.09116
279,407.77408
280,434.71716
281,251.89816
282,355.0317
283,459.68192
284,356.4419
285,409.59708
286,362.86044
287,282.14
288,460.20987
289,331.94656
290,319.7333
291,541.0399
292,251.70633
293,514.6057
294,399.70343
295,464.9075
296,259.4089
297,338.60773
298,232.1471
299,268.71698
300,331.65875
301,442.4129
302,148.82275
303,537.2329
304,358.09772
305,199.60376
306,247.83914
307,449.2314
308,327.5146
309,334.17935
310,522.7425
311,179.22736
312,227.31305
313,304.8501
314,91.9422
315,424.9
316,271.95538
317,186.46811
318,367.39984
319,280.89554
320,208.95044
321,388.6648
322,98.1564
323,242.90353
324,425.4401
325,315.02408
326,182.99689
327,236.34781
328,263.16913
329,127.71576
330,266.2619
331,372.62863
332,223.34647
333,238.60156
334,395.63007
335,328.99765
336,326.09335
337,188.75937
338,371.59058
339,288.9884
340,463.7102
341,242.2106
342,272.81458
343,394.38638
344,311.56607
345,220.90057
346,326.30096
347,284.99335
348,293.15924
349,368.8391
350,160.96262
351,305.59
352,434.25882
353,203.96976
354,406.2438
355,216.47266
356,343.9585
357,180.3046
358,80.24484
359,162.8888
360,335.44455
361,284.98294
362,263.51724
363,374.05017
364,189.9255
365,318.22333
366,355.80978
367,180.99207
368,243.25732
369,253.1582
370,296.673
371,323.17142
372,264.43454
373,221.98297
374,188.15659
375,270.0446
376,386.2653
377,242.59265
378,232.71115
379,173.0271
380,296.8912
381,200.8609
382,179.2732
383,342.5498
384,119.32123
385,233.99088
386,334.5983
387,257.6551
388,392.95926
389,87.596375
390,112.89996
391,252.79745
392,338.039
393,178.20563
394,279.09662
395,414.44623
396,331.36163
397,287.7061
398,191.70062
399,304.96063
400,269.16876
401,272.87668
402,190.2073
403,173.94302
404,220.05795
405,399.18106
406,322.51883
407,198.74942
408,314.94073
409,221.39066
410,257.50873
411,343.11087
412,387.87274
413,388.20724
414,147.66885
415,199.39206
416,318.93344
417,177.37836
418,191.95166
419,186.20316
420,237.65454
421,300.43396
422,235.42148
423,157.62836
424,153.23425
425,328.9096
426,436.05322
427,164.73444
428,228.54303
429,249.39822
430,187.01459
431,205.78345
432,169.44272
433,134.50717
434,222.33246
435,173.94757
436,171.20511
437,173.82025
438,201.60016
439,86.88202
440,217.11096
441,142.28326
442,114.58588
443,244.28912
444,228.19412
445,208.1015
446,257.39377
447,166.5234
448,146.71924
449,170.77255
450,177.70572
451,196.7938
452,152.40244
453,179.18698
454,338.95218
455,267.215
456,294.18097
457,164.62067
458,235.81433
459,171.64636
460,322.07977
461,281.96918
462,214.77359
463,327.55792
464,165.68216
465,127.57083
466,362.28757
467,165.09512
468,240.41367
469,206.00302
470,297.38266
471,162.45728
472,187.22421
473,377.7132
474,101.606384
475,259.80243
476,220.52841
477,167.39929
478,128.2692
479,174.6199
480,208.48761
481,361.80484
482,90.77319
483,203.66666
484,134.15057
485,161.13998
486,148.86511
487,175.66962
488,218.56693
489,200.6088
490,152.8652
491,179.57718
492,107.3913
493,138.14389
494,114.84143
495,205.91699
496,194.12656
497,97.70459
498,214.5776
499,184.67075
500,146.3414
501,130.10748
502,98.15924
503,149.24704
504,234.00613
505,207.6232
506,245.70139
507,143.01941
508,114.48862
509,104.21716
510,103.12866
511,182.86438
512,129.16013
513,163.60364
514,160.1506
515,194.66327
516,213.84543
517,255.84262
518,186.32419
519,157.39062
520,148.07654
521,156.54706
522,194.47504
523,93.440704
524,91.04477
525,139.46674
526,225.10397
527,322.73935
528,115.04758
529,167.46243
530,179.71982
531,145.80997
532,291.7812
533,187.25772
534,346.44125
535,146.60574
536,178.4566
537,118.61337
538,75.51654
539,94.875275
540,323.15576
541,228.30423
542,174.7351
543,126.06229
544,167.96555
545,204.65833
546,176.88654
547,152.53735
548,123.85925
549,161.18796
550,157.75394
551,103.44714
552,84.42563
553,108.408325
554,104.61621
555,138.52066
556,80.53543
557,115.13971
558,109.29657
559,78.70776
560,226.71991
561,63.52472
562,144.02112
563,81.29895
564,134.27563
565,190.12799
566,212.14944
567,110.9122
568,121.14407
569,60.43741
570,129.2161
571,116.15253
