,acc
0,59.45945945945946
1,72.83641820910455
2,78.99299766588862
3,82.14553638409602
4,84.49689937987597
5,85.99766627771295
6,86.94099157022431
7,87.92349043630453
8,88.45427269696633
9,89.16891689168916
10,89.66269660878261
11,90.1825152096008
12,90.62235556581275
13,90.91363668833488
14,91.27275151676778
15,91.59322457653603
16,91.81716571563034
17,92.01622312350686
18,92.2732775409232
19,92.47962398119905
20,92.64250678603743
21,92.88149461339152
22,93.11274403234923
23,93.29555398141589
24,93.46373854954199
25,93.59206123312435
26,93.72198970332235
27,93.86406657380621
28,93.95151556950239
29,94.05313510450348
30,94.15142423949159
31,94.20919403731367
32,94.3149792417952
33,94.39689402629489
34,94.46269893425526
35,94.5387371871441
36,94.62417903186572
37,94.66038579962631
38,94.71781327726352
39,94.78986974674366
40,94.8632893485207
41,94.93797471368366
42,94.99058117630642
43,95.04988749744312
44,95.09989110869131
45,95.14119872171135
46,95.18713164109874
47,95.23323402570887
48,95.267250352048
49,95.30990619812397
50,95.37245828349576
51,95.42298890363276
52,95.46972584388385
53,95.51473175429174
54,95.56173748613611
55,95.60349291951643
56,95.6472920577554
57,95.69820169313265
58,95.7507754368718
59,95.80159669327823
60,98.29829829829829
61,97.84892446223111
62,98.13271090363455
63,98.17454363590898
64,98.2996599319864
65,98.26637772962161
66,98.22831833119017
67,98.22477809726216
68,98.18868763195911
69,98.25982598259826
70,98.29075370488226
71,98.3331944328694
72,98.36141241633972
73,98.3855989713551
74,98.41322754850323
75,98.41865116569785
76,98.42931937172774
77,98.44435801988999
78,98.4367598294647
79,98.4399219960998
80,98.43325872660603
81,98.44083821991909
82,98.43036653767555
83,98.46243593483062
84,98.4879395175807
85,98.48840340013078
86,98.48142523797178
87,98.49280331440409
88,98.48615469498948
89,98.48328277609254
90,98.51608116390851
91,98.49682802587581
92,98.50298493893754
93,98.50877966999029
94,98.49995714163262
95,98.51106975193755
96,98.48374280385957
97,98.48943393247191
98,98.48714069591529
99,98.48746218655467
100,98.47313349106076
101,98.4666301578609
102,98.48368566710853
103,98.5022386872429
104,98.51107802395609
105,98.5086632318094
106,98.51060660865124
107,98.5208025167191
108,98.52037796689729
109,98.51597031940639
110,98.51761799250966
111,98.51727917844573
112,98.51695315005944
113,98.51663919702217
114,98.51451844578992
115,98.51247343702566
116,98.5087457674696
117,98.52238831703995
118,98.5338734554823
119,98.541642360706
120,97.3973973973974
121,97.99899949974987
122,98.29943314438147
123,98.42460615153789
124,98.61972394478896
125,98.68311385230872
126,98.69981425917989
127,98.7123390423803
128,98.67763084787198
129,98.65986598659866
130,98.69079007182471
131,98.7248937411451
132,98.76144318793753
133,98.77848417744124
134,98.8132542169478
135,98.81242577661104
136,98.84699099947056
137,98.83326851491749
138,98.83151744828675
139,98.83494174708736
140,98.85708843278252
141,98.88631301422792
142,98.89560415670246
143,98.90412100504187
144,98.89995599823993
145,98.90765029424209
146,98.92218230304826
147,98.92139004964463
148,98.92065243629091
149,98.94663155438515
150,98.9644827252492
151,98.94996718647458
