,wc
0,6.412757
1,1.8670074
2,1.0844833
3,1.0424893
4,0.81117994
5,0.7348733
6,0.848419
7,0.6974629
8,0.83067966
9,0.51998615
10,0.5732843
11,0.52059597
12,0.5119555
13,0.5794224
14,0.45109442
15,0.42523772
16,0.53959286
17,0.52257466
18,0.33051047
19,0.37744525
20,0.5119278
21,0.26613957
22,0.28829846
23,0.29384795
24,0.35373724
25,0.40207067
26,0.33322006
27,0.25125635
28,0.39596203
29,0.351033
30,0.33984077
31,0.4179256
32,0.2920876
33,0.35177636
34,0.37225717
35,0.28699622
36,0.2704886
37,0.412423
38,0.3410547
39,0.28846252
40,0.30231842
41,0.21904792
42,0.28621602
43,0.33529097
44,0.32132953
45,0.37741274
46,0.29677504
47,0.30401754
48,0.35646415
49,0.3879766
50,0.21122448
51,0.23416142
52,0.2872571
53,0.2468784
54,0.26827937
55,0.25103825
56,0.23827903
57,0.13401134
58,0.15696734
59,0.1276357
60,0.23281805
61,0.27642968
62,0.13294639
63,0.17149468
64,0.15015082
65,0.22632515
66,0.20190577
67,0.22544613
68,0.2344007
69,0.14582142
70,0.16067739
71,0.15820192
72,0.1506899
73,0.20094986
74,0.13654609
75,0.18429214
76,0.1511431
77,0.20280392
78,0.19967248
79,0.13806494
80,0.16783856
81,0.16679685
82,0.1940046
83,0.13289368
84,0.11570034
85,0.18011901
86,0.20798081
87,0.12554008
88,0.17626736
89,0.16335826
90,0.10580874
91,0.1846081
92,0.1619714
93,0.13823438
94,0.21645099
95,0.11306433
96,0.26729253
97,0.13181384
98,0.17175786
99,0.17407052
100,0.24626085
101,0.2258524
102,0.09737982
103,0.14124618
104,0.14740083
105,0.18884146
106,0.15660097
107,0.116211705
108,0.20493376
109,0.17861067
110,0.18078776
111,0.16534814
112,0.19312897
113,0.19771528
114,0.15582347
115,0.21375033
116,0.1802265
117,0.08341838
118,0.06929856
119,0.11251686
120,0.25438303
121,0.13043496
122,0.14648664
123,0.11163536
124,0.090507366
125,0.12346823
126,0.12837888
127,0.124034375
128,0.18721066
129,0.14411809
130,0.11477031
131,0.090209834
132,0.099083886
133,0.10101448
134,0.09887038
135,0.13300803
136,0.10305585
137,0.15463378
138,0.1367465
139,0.120938756
140,0.08655729
141,0.073920555
142,0.13733955
143,0.08524625
144,0.1334655
145,0.13804056
146,0.1082221
147,0.103125036
148,0.13435371
149,0.048252765
150,0.08548725
151,0.1520642
152,0.091762066
153,0.07878038
154,0.1613412
155,0.09093866
156,0.2008448
157,0.07987325
158,0.09934582
159,0.17622912
160,0.15116556
161,0.07411212
162,0.14459555
163,0.09419896
164,0.10756085
165,0.055421587
166,0.11821508
167,0.14662509
168,0.13215585
169,0.1250256
170,0.13436799
171,0.120120645
172,0.067356005
173,0.14110395
174,0.1074532
175,0.099899605
176,0.06374445
177,0.08056485
178,0.0872242
179,0.057090826
180,0.18675965
181,0.07840044
182,0.071867466
183,0.085464716
184,0.10949803
185,0.08618715
186,0.088861085
187,0.106302
188,0.14386716
189,0.09282189
190,0.11714693
191,0.02437039
192,0.07973256
193,0.07630748
194,0.037727967
195,0.093593076
196,0.08063662
197,0.107522726
198,0.07832477
199,0.072637014
200,0.10785159
201,0.07203271
202,0.04692968
203,0.06231357
204,0.080864795
205,0.053357195
206,0.06449472
207,0.06005194
208,0.054602146
209,0.055897273
210,0.06935626
211,0.077855095
212,0.058132105
213,0.083046526
214,0.08667075
215,0.11221754
216,0.097890705
217,0.103073314
218,0.10955985
219,0.09547372
220,0.11176886
221,0.03937516
222,0.12631467
223,0.051710285
224,0.054264918
225,0.085783154
226,0.0699283
227,0.050501518
228,0.061065473
229,0.08188582
230,0.06879476
231,0.06641454
232,0.079113394
233,0.08075243
234,0.080078654
235,0.115713604
236,0.087931275
237,0.06892424
238,0.025047015
239,0.037930343
240,0.123912096
241,0.07414181
242,0.07168805
243,0.064277895
244,0.08582751
245,0.03988139
246,0.043600503
247,0.05056534
248,0.048859768
249,0.0818202
250,0.063439794
251,0.047726482
252,0.02205959
253,0.038305685
254,0.025760427
255,0.045888748
256,0.06462035
257,0.073826194
258,0.06425665
259,0.044116292
260,0.046125147
261,0.03960049
262,0.04823255
263,0.04512213
264,0.054523595
265,0.07093692
266,0.025154844
267,0.041099936
268,0.045161907
269,0.033464722
270,0.039944705
271,0.033173494
272,0.0661036
273,0.030043675
274,0.108357206
275,0.03098566
276,0.060032748
277,0.08244504
278,0.071825325
279,0.08700966
280,0.032978352
281,0.059332922
282,0.098715365
283,0.022386007
284,0.063215725
285,0.052870397
286,0.06307258
287,0.04328554
288,0.0550359
289,0.09566267
290,0.06374564
291,0.063187614
292,0.045996677
293,0.054515574
294,0.037573617
295,0.0854704
296,0.027307492
297,0.05577685
298,0.025909103
299,0.011088179
300,0.07729159
301,0.06378196
302,0.06926328
303,0.054101337
304,0.023879237
305,0.03346301
306,0.044738997
307,0.028323026
308,0.05047833
309,0.049031164
310,0.019069802
311,0.0710265
312,0.026605085
313,0.03268581
314,0.033630785
315,0.07474987
316,0.043715514
317,0.07637267
318,0.046707936
319,0.03648681
320,0.07211241
321,0.04572346
322,0.059903696
323,0.048108023
324,0.037945062
325,0.0151899
326,0.03892225
327,0.020976815
328,0.043000255
329,0.025113426
330,0.022628479
331,0.04287083
332,0.015780495
333,0.026522312
334,0.033762205
335,0.094477385
336,0.051645335
337,0.07552972
338,0.07920632
339,0.06866495
340,0.05072113
341,0.0281818
342,0.09634826
343,0.03709647
344,0.042313002
345,0.05250538
346,0.04248802
347,0.027143048
348,0.048455197
349,0.05323648
350,0.029456489
351,0.03602137
352,0.054606933
353,0.026785713
354,0.031096822
355,0.07658129
356,0.039285637
357,0.039528247
358,0.028248686
359,0.015855107
360,0.04547593
361,0.031758167
362,0.057713173
363,0.013661054
364,0.030678863
365,0.031316508
366,0.07364127
367,0.044241577
368,0.020067718
369,0.026674137
370,0.03132382
371,0.017162584
372,0.033059657
373,0.0137426555
374,0.018999487
375,0.014908882
376,0.02699291
377,0.053560942
378,0.021128228
379,0.039488807
380,0.032327496
381,0.042192355
382,0.010112175
383,0.03402588
384,0.02789365
385,0.037998296
386,0.04149842
387,0.027124833
388,0.019389115
389,0.028447771
390,0.018439855
391,0.030280326
392,0.03580693
393,0.005514414
394,0.08760355
395,0.09186447
396,0.020917976
397,0.027648564
398,0.052596346
399,0.03957803
400,0.02249604
401,0.025488868
402,0.04644241
403,0.0508007
404,0.042937934
405,0.03482783
406,0.025476543
407,0.015635893
408,0.039608914
409,0.017414331
410,0.027769953
411,0.044101678
412,0.029610442
413,0.033821102
414,0.042967796
415,0.028518835
416,0.02851259
417,0.015767662
418,0.009011414
419,0.021428658
420,0.034397505
421,0.033289075
422,0.083061084
423,0.03997896
424,0.02454
425,0.030147554
426,0.044855524
427,0.013527365
428,0.020641308
429,0.02779286
430,0.04090504
431,0.01469629
432,0.0046198405
433,0.019584578
434,0.016045315
435,0.0075559923
436,0.02346887
437,0.022826564
438,0.018860117
439,0.03932313
440,0.011786925
441,0.011336428
442,0.01783324
443,0.023912933
444,0.026751332
445,0.021506343
446,0.029345648
447,0.012914415
448,0.024601609
449,0.00885833
450,0.021040948
451,0.01798582
452,0.025320975
453,0.012035544
454,0.039884098
455,0.019421712
456,0.020009555
457,0.042633813
458,0.03957156
459,0.011321111
460,0.034628764
461,0.013061061
462,0.033570826
463,0.023913356
464,0.031628378
465,0.008825369
466,0.03796419
467,0.03810068
468,0.020195995
469,0.017067201
470,0.016238794
471,0.026569344
472,0.028327739
473,0.02122134
474,0.041371714
475,0.011770458
476,0.01782542
477,0.0146773895
478,0.0054507107
479,0.008942105
480,0.02271536
481,0.032612517
482,0.014227099
483,0.016318928
484,0.0061848937
485,0.022608966
486,0.03384556
487,0.027586155
488,0.020469658
489,0.014724761
490,0.02168889
491,0.032599024
492,0.014068991
493,0.007887964
494,0.011504688
495,0.009979651
496,0.01580504
497,0.011732293
498,0.022318285
499,0.011584931
500,0.0066433046
501,0.006609246
502,0.022534542
503,0.010124228
504,0.013839678
505,0.012644132
506,0.030830305
507,0.008090612
508,0.013968209
509,0.011782821
510,0.007935665
511,0.046078786
512,0.010667954
513,0.018914055
514,0.013343578
515,0.05964217
516,0.020777935
517,0.011541697
518,0.017553508
519,0.0140746
520,0.040082328
521,0.018508792
522,0.045111414
523,0.019413576
524,0.022538051
525,0.015469597
526,0.013169839
527,0.0031497004
528,0.009829936
529,0.015352508
530,0.01428197
531,0.03246324
532,0.014746976
533,0.004920315
534,0.008221888
535,0.010441605
536,0.0119486675
537,0.020805135
538,0.011318978
539,0.002801991
540,0.012437395
541,0.021356147
542,0.027366512
543,0.03268937
544,0.00883084
545,0.0064950846
546,0.0057602488
547,0.011377068
548,0.0081835985
549,0.0084465435
550,0.024496427
551,0.021856107
552,0.0072094444
553,0.014493175
554,0.007731242
555,0.003628715
556,0.005476578
557,0.01607306
558,0.01264352
559,0.013619966
560,0.018797264
561,0.0030050687
562,0.01255762
563,0.009889634
564,0.011250898
565,0.011922624
566,0.014237346
567,0.0113029815
568,0.013823161
569,0.0038258545
570,0.0027663512
571,0.017616108
572,0.01883651
573,0.0044630244
574,0.036377423
575,0.024356378
576,0.014325429
577,0.018157844
578,0.012251661
579,0.015426321
580,0.01082586
581,0.010388168
582,0.008904551
583,0.023986742
584,0.0070323003
585,0.023273626
586,0.012198819
587,0.008472143
588,0.0090416875
589,0.0076590534
590,0.024215505
591,0.004298497
592,0.027598167
593,0.015580833
594,0.017984578
595,0.0065761628
596,0.0048892554
597,0.0014511487
598,0.010797818
599,0.003396051
600,0.012249635
601,0.026103681
602,0.006423801
603,0.012706785
604,0.008220975
605,0.014472235
606,0.01940842
607,0.00712887
608,0.008988736
609,0.0097322585
610,0.026920468
611,0.009760449
612,0.0022490593
613,0.0033317776
614,0.0034396276
615,0.009126604
616,0.0072529046
617,0.007407318
618,0.004972499
619,0.009252707
620,0.006990196
621,0.0060353586
622,0.0066490704
623,0.00883382
624,0.01151934
625,0.015151904
626,0.003501351
627,0.007181706
628,0.0069597084
629,0.0068439217
630,0.004215597
631,0.0042889817
632,0.019562285
633,0.015692929
634,0.021018282
635,0.020910311
636,0.017512213
637,0.018897912
638,0.007941399
639,0.008542183
640,0.012284227
641,0.00394479
642,0.020596216
643,0.0036066817
644,0.020989649
645,0.023920445
646,0.009307106
647,0.0051444247
648,0.013690116
649,0.0035968842
650,0.025700431
651,0.007125317
652,0.007886806
653,0.0052475147
654,0.0132939955
655,0.010375115
656,0.0016913526
657,0.005493708
658,0.0025044773
659,0.0038740914
660,0.010844817
661,0.012931406
662,0.01916482
663,0.0051129945
664,0.010165366
665,0.0066982545
666,0.009318755
667,0.015043708
668,0.005226326
669,0.010847192
670,0.007280497
671,0.026439918
672,0.002192622
673,0.015912667
674,0.0017889822
675,0.0038354835
676,0.0016603917
677,0.004073307
678,0.0021438524
679,0.0057954295
680,0.0031231213
681,0.010413331
682,0.0038136737
683,0.004283867
684,0.0034018215
685,0.008825734
686,0.009213647
687,0.004372362
688,0.0083423
